outcome,estimand,target,cal_countries,order_index,attainable,traj_len,target_score,critical,covered,mean_width
stfdem,S_allround,RU,34,32,0.914,4,1.402,4.045,1,0.492
stfdem,S_allround,SE,34,32,0.914,10,1.811,4.053,1,0.497
stfdem,S_allround,SI,34,32,0.914,10,3.536,4.059,1,0.486
stfdem,S_allround,SK,34,32,0.914,7,2.082,4.068,1,0.491
stfdem,S_allround,TR,34,32,0.914,1,4.207,4.049,0,0.488
stfdem,S_allround,UA,34,32,0.914,5,3.689,4.288,1,0.515
stfdem,S_allround_fixed_s,AT,34,32,0.914,7,2.476,4.073,1,0.493
stfdem,S_allround_fixed_s,BE,34,32,0.914,10,1.6,4.073,1,0.493
stfdem,S_allround_fixed_s,BG,34,32,0.914,6,2.683,4.073,1,0.493
stfdem,S_allround_fixed_s,CH,34,32,0.914,10,2.707,4.073,1,0.493
stfdem,S_allround_fixed_s,CY,34,32,0.914,6,3.095,4.073,1,0.493
stfdem,S_allround_fixed_s,CZ,34,32,0.914,8,1.527,4.073,1,0.493
stfdem,S_allround_fixed_s,DE,34,32,0.914,10,2.04,4.073,1,0.493
stfdem,S_allround_fixed_s,DK,34,32,0.914,7,2.638,4.073,1,0.493
stfdem,S_allround_fixed_s,EE,34,32,0.914,9,1.372,4.073,1,0.493
stfdem,S_allround_fixed_s,ES,34,32,0.914,10,2.286,4.073,1,0.493
stfdem,S_allround_fixed_s,FI,34,32,0.914,10,4.925,4.029,0,0.487
stfdem,S_allround_fixed_s,FR,34,32,0.914,10,1.987,4.073,1,0.493
stfdem,S_allround_fixed_s,GB,34,32,0.914,10,1.651,4.073,1,0.493
stfdem,S_allround_fixed_s,GR,34,32,0.914,5,4.841,4.029,0,0.487
stfdem,S_allround_fixed_s,HR,34,32,0.914,4,1.611,4.073,1,0.493
stfdem,S_allround_fixed_s,HU,34,32,0.914,10,4.029,4.073,1,0.493
stfdem,S_allround_fixed_s,IE,34,32,0.914,10,2.965,4.073,1,0.493
stfdem,S_allround_fixed_s,IL,34,32,0.914,7,1.981,4.073,1,0.493
stfdem,S_allround_fixed_s,IS,34,32,0.914,5,1.973,4.073,1,0.493
stfdem,S_allround_fixed_s,IT,34,32,0.914,5,2.475,4.073,1,0.493
stfdem,S_allround_fixed_s,LT,34,32,0.914,6,3.739,4.073,1,0.493
stfdem,S_allround_fixed_s,LU,34,32,0.914,1,3.314,4.073,1,0.493
stfdem,S_allround_fixed_s,LV,34,32,0.914,3,2.083,4.073,1,0.493
stfdem,S_allround_fixed_s,ME,34,32,0.914,2,1.517,4.073,1,0.493
stfdem,S_allround_fixed_s,NL,34,32,0.914,10,1.09,4.073,1,0.493
stfdem,S_allround_fixed_s,NO,34,32,0.914,10,2.964,4.073,1,0.493
stfdem,S_allround_fixed_s,PL,34,32,0.914,10,3.876,4.073,1,0.493
stfdem,S_allround_fixed_s,PT,34,32,0.914,10,3.324,4.073,1,0.493
stfdem,S_allround_fixed_s,RS,34,32,0.914,2,3.643,4.073,1,0.493
stfdem,S_allround_fixed_s,RU,34,32,0.914,4,1.405,4.073,1,0.493
stfdem,S_allround_fixed_s,SE,34,32,0.914,10,1.82,4.073,1,0.493
stfdem,S_allround_fixed_s,SI,34,32,0.914,10,3.435,4.073,1,0.493
stfdem,S_allround_fixed_s,SK,34,32,0.914,7,2.074,4.073,1,0.493
stfdem,S_allround_fixed_s,TR,34,32,0.914,1,4.073,4.029,0,0.487
stfdem,S_allround_fixed_s,UA,34,32,0.914,5,3.466,4.073,1,0.493
