cntry,essround,sample,n_trstprl,trstprl_t0,trstprl_t1,trstprl_t2,trstprl_t3,trstprl_t4,trstprl_t5,trstprl_t6,trstprl_t7,trstprl_t8,trstprl_t9,n_stfdem,stfdem_t0,stfdem_t1,stfdem_t2,stfdem_t3,stfdem_t4,stfdem_t5,stfdem_t6,stfdem_t7,stfdem_t8,stfdem_t9,trstprl_v0,trstprl_v1,trstprl_v2,trstprl_v3,trstprl_v4,trstprl_v5,trstprl_v6,trstprl_v7,trstprl_v8,trstprl_v9,stfdem_v0,stfdem_v1,stfdem_v2,stfdem_v3,stfdem_v4,stfdem_v5,stfdem_v6,stfdem_v7,stfdem_v8,stfdem_v9
CH,11,core,1326,0.012253625534700713,0.01915146185728074,0.04805188211787983,0.08700047136216793,0.1420186472290319,0.2910092797207372,0.44150529035596325,0.6695756307120548,0.8970231051315378,0.969612403774126,1341,0.002672386115486721,0.004990370077365345,0.0146990493504704,0.032348510621336424,0.06208597565724032,0.13122531316420324,0.21710078375794775,0.4081564294015542,0.6987054909501239,0.8954530362336443,0.0032734099524261576,0.0038172207125204767,0.005604927766635223,0.007721788534938357,0.009584166777192133,0.013004945003309563,0.013459083994295571,0.012548037085700207,0.00805046221248759,0.0044339920140796085,0.0015001950886692642,0.0019311548968742537,0.003429100592137788,0.005017603373952064,0.006265735822912625,0.0091942855067857,0.011450514344449573,0.014325478004827351,0.01231133094403727,0.008512065894309149
CY,3,extended,956,0.050639694996276706,0.07616436146400056,0.11570775954920613,0.17156960827192397,0.24299505195697513,0.47052808144174424,0.5815558495179144,0.7244605584195425,0.8849400370519367,0.9662603204715672,940,0.007029122925147486,0.01887105461295292,0.037984951960303194,0.07747804451869172,0.13410545167127003,0.31139055512968733,0.45612619113049613,0.6369771785314929,0.7974727777810874,0.9079805185543431,,,,,,,,,,,,,,,,,,,,
CY,4,extended,1167,0.04143408605864255,0.06851402874461021,0.10758367592962352,0.17277605833814721,0.2583829003759167,0.5044339043325977,0.6468872666753697,0.7998422841054454,0.9247442371101133,0.9661401013050717,1188,0.010038254958439,0.026504268846239052,0.04350622504154181,0.07248496496016489,0.13427457477602486,0.31599209840452097,0.4621600262704085,0.640318975243905,0.8281471638197554,0.9367095609875971,,,,,,,,,,,,,,,,,,,,
CY,5,extended,1016,0.09452895084907434,0.1440887213206244,0.20239285950228791,0.3138822634343019,0.4440359092980657,0.6830467882507752,0.8012560959659765,0.8964057019714763,0.9660025301217957,0.9839840138819801,1043,0.030517769875001308,0.05788944049988389,0.08896414380023247,0.158806786104332,0.22213438328431498,0.4562985141436539,0.6221869861529623,0.7728178718151212,0.90865127415279,0.9767059377430037,,,,,,,,,,,,,,,,,,,,
CY,6,extended,1068,0.20262710726301833,0.31479423635001075,0.39231019643427045,0.5170567719470781,0.6214013373635845,0.8189908772505518,0.8908300770905075,0.9395778875760218,0.9771456993830034,0.9838897685935007,1087,0.08625420579943008,0.13877897551673202,0.2134084894705037,0.30829094785499783,0.40892769646146704,0.5663330979299639,0.6900768293490694,0.8058674864796317,0.9054251922024497,0.9700631556813057,,,,,,,,,,,,,,,,,,,,
CY,9,core,769,0.13511402099098385,0.2373263384998824,0.3437200360263082,0.47111750937048835,0.5834428387376182,0.8287592677776158,0.8992618623401678,0.959506438925313,0.9926248288808063,0.9948409689551748,770,0.07775948671746108,0.12622468395508873,0.2112788200247061,0.33530515363111657,0.45426035580891677,0.671914007287956,0.8065721396866764,0.9158917541581539,0.9758034742345679,0.9867676692111331,0.014608541749608895,0.018283536348204694,0.021877787504419665,0.02279377862207428,0.022310556847450078,0.01607520147485489,0.012744077806564872,0.008371764725269147,0.0036034108459231605,0.003421492846931362,0.013249757115069453,0.015940498182858694,0.019581048608197964,0.02140511083240259,0.02136072714544382,0.020897970642823605,0.01832177771943251,0.012823975443595849,0.007144184611314113,0.005932142242695819
CY,10,core,872,0.1863532760348929,0.24298096943825526,0.3656424784770182,0.5193494495719176,0.5827389571963874,0.7716654286652592,0.8705112266175036,0.9403526331984549,0.9748991201874377,0.9824532158361629,870,0.13770685078444428,0.1876124176569573,0.28283968719736596,0.4052333332030415,0.5306218806326625,0.7013640756519957,0.7894004211970987,0.8883560019262129,0.9438021582533795,0.9662035785694711,0.020577885521258926,0.021744502227644007,0.02309948818621197,0.02299403852076697,0.022725741189839676,0.019522606585453926,0.015910912129396344,0.011130305702393213,0.008404879532165458,0.006956317783578337,0.01710088112961168,0.01893939126055987,0.02104767023593636,0.022452276401615866,0.02265022390996167,0.021728229103528326,0.021439931382125216,0.016592277355162898,0.011933949900816586,0.009545162053789627
CY,11,core,676,0.16601462251889237,0.20445515216524,0.282437822455286,0.4044921952375131,0.5189581721357485,0.773026637967057,0.872289304642489,0.9463660022498818,0.9835697439105822,0.99233268743975,667,0.094711470422612,0.12745436928385076,0.20682045072939023,0.3232623357596419,0.4588532062331574,0.7025387501112006,0.8126323360675184,0.9148438354492631,0.9686419158308448,0.9834618525232509,0.017751946547816352,0.0189320301796795,0.02154700765453508,0.025030974850938897,0.02462666977498502,0.02027474914893231,0.015237177842141257,0.009004663647488474,0.0046318259570032275,0.002943937595601937,0.013222692401256774,0.014620116418343633,0.01893879669584592,0.023118978914466026,0.022629084338234087,0.019002871969000894,0.01675086294977639,0.012909376681594205,0.009270630137568259,0.007156239675071215
CZ,1,extended,1311,0.09554901665178549,0.18341697274869834,0.31896796880516437,0.506363660680075,0.64318478346544,0.816537258136206,0.8860573652458761,0.9564396431639709,0.9879000805526352,0.9967968755734341,1299,0.03695035103713428,0.08936169066660653,0.16724581375118117,0.29452620736108875,0.4036860650295451,0.6051033153885516,0.7179481722647504,0.8512394016372956,0.9347298024043948,0.9893051282468894,,,,,,,,,,,,,,,,,,,,
CZ,2,extended,2903,0.1562632883400762,0.24681244778830913,0.39828063501846794,0.5816301207579665,0.6968657150449364,0.8664336430805786,0.9208338400511683,0.962313708582135,0.9854833425309836,0.9940507952557277,2860,0.06945736833180213,0.11566834813985596,0.1937362317849869,0.3022214315546415,0.4406247238248665,0.6493418550243452,0.779385509247218,0.8815242666635354,0.9478620583051789,0.9820120174292012,,,,,,,,,,,,,,,,,,,,
