s_transport,rho,oracle_cov,plugin_cov,da_cov,oracle_w,plugin_w,da_w,clean_sup_mean,cont_sup_mean,dominance_ok
0.5,0.22894035742733068,1.0,1.0,1.0,0.3154093920439225,0.29818323773283983,0.2369764430198474,0.07987923791333584,0.0834806737310871,1.0
0.5,0.19228397763885757,1.0,1.0,1.0,0.35860951258587226,0.3788927440309068,0.3472802962684305,0.1026726505812642,0.10472686039499352,1.0
0.5,0.18790203677270162,1.0,1.0,1.0,0.3710908678788395,0.3719552690522333,0.3173575724295151,0.10301662848062819,0.11256646675604313,1.0
0.5,0.2399072568930889,1.0,1.0,1.0,0.32958688606332914,0.31784035592504406,0.2688474696000672,0.08025360362285083,0.08473474594616473,1.0
0.5,0.2405243772523458,1.0,1.0,1.0,0.28338838081452744,0.3210777945839346,0.26533569574895066,0.08145727202041099,0.09097341244618669,1.0
0.5,0.22677611558849048,1.0,1.0,1.0,0.31440039666361486,0.3263626521427125,0.2479277490845342,0.0839977623132405,0.08618105409723864,1.0
0.5,0.21103432515823806,1.0,1.0,1.0,0.3458321170568194,0.3442136069636061,0.3068110431262404,0.09893843781292315,0.10402636276709004,1.0
0.5,0.209149963575595,1.0,1.0,1.0,0.3381215854227895,0.3626725682271605,0.30266589440912617,0.09569077701930821,0.09872865075355154,1.0
0.5,0.21399862016248097,1.0,1.0,1.0,0.3216487388873478,0.3335369292827732,0.286918323386532,0.09651502275471273,0.10117410716480701,1.0
0.5,0.2115071436370938,1.0,1.0,1.0,0.35561372263619273,0.34723898426845734,0.2688775218214302,0.08857665810203304,0.09364802981351016,1.0
0.5,0.18488850236300314,1.0,1.0,0.0,0.3809979708757464,0.38836714548928275,0.31704270747901775,0.10308448830723231,0.11005553820672014,1.0
0.5,0.23117975553748651,1.0,1.0,0.0,0.2913031191530487,0.3147002855669482,0.27612122775563314,0.08650988382369997,0.09317447939307909,1.0
0.5,0.1990445105010574,1.0,1.0,1.0,0.3563441714813219,0.36972394979222367,0.34237621918525885,0.09771519038504721,0.09795557359523878,1.0
0.5,0.2260050059740917,1.0,1.0,1.0,0.3123039659360626,0.3702337231896248,0.3430954886509988,0.0892197931267316,0.0984251934593796,1.0
0.5,0.26497317087594385,1.0,1.0,0.0,0.30214359868772045,0.2872927211997226,0.23129987989896933,0.07805998669415133,0.08300491612569579,1.0
0.5,0.17750837652785978,1.0,1.0,1.0,0.4118547766224269,0.4239533364127247,0.3953838720544376,0.09919765444677754,0.11216404004147672,1.0
0.5,0.19702805583448943,1.0,1.0,1.0,0.3488637108251096,0.39529824096580557,0.3257280550331568,0.10241925083626054,0.10877016098730287,1.0
0.5,0.2133193501034482,0.0,0.0,1.0,0.32845508791339284,0.3201035961801947,0.31068718354901365,0.09127815368467389,0.09609326876819503,1.0
0.5,0.2014630759774756,1.0,1.0,1.0,0.37093505906965546,0.39281410778000253,0.3517099787842506,0.09631203775773134,0.10322036719095104,1.0
0.5,0.2326887839058056,1.0,1.0,1.0,0.28827198056476255,0.29567338706861057,0.27112653110388973,0.08355740920531876,0.08543817165659276,1.0
0.5,0.21411332897243845,1.0,1.0,1.0,0.34044318735410156,0.33585652604957716,0.29285410650318916,0.09319830204675485,0.09796563501929535,1.0
0.5,0.20864536091590355,1.0,1.0,1.0,0.3104901107210559,0.3356304965089353,0.3291911447623076,0.08850069297402632,0.0924049086844117,1.0
