outcome,f,rep,target,rho,branch,stable,w_adaptive,w_cons,cov_adaptive,cov_T1,cov_T2,cov_T3
b13,1.0,7,2,0.11612955346594571,T1,True,0.32652861977510966,0.3546480891996,1,1,1,1
b13,1.0,7,3,0.11997682250013467,T1,True,0.3269291387547622,0.355083099432148,1,1,1,1
b13,1.0,7,4,0.1192797853044984,T1,True,0.32586256524354995,0.354584316397252,1,1,1,1
b13,1.0,7,5,0.11624710900327284,T1,True,0.3277384507554404,0.3559621064692785,1,1,1,1
b13,1.0,7,6,0.11541245727214862,T1,True,0.3255496962309016,0.3535848642833123,1,1,1,1
b13,1.0,7,7,0.11780023682825241,T1,True,0.325531645553955,0.35356525914703896,1,1,1,1
b13,1.0,7,8,0.11466341529993207,T1,True,0.3272897934431368,0.35547481240414114,1,1,1,1
b13,1.0,7,9,0.1240342428064795,T1,True,0.31304111462525197,0.3410511957315858,0,0,0,0
b13,1.0,7,10,0.11609762496554911,T1,True,0.3278562543411085,0.3560900548757209,1,1,1,1
b13,1.0,7,11,0.11441378426597497,T1,True,0.32742883163184994,0.35562582406121074,1,1,1,1
b13,1.0,7,12,0.11697711905470262,T1,True,0.32624212398988994,0.3543369214285731,1,1,1,1
b13,1.0,7,13,0.11448367223817685,T1,True,0.3273976135323314,0.3555919175713284,1,1,1,1
b13,1.0,7,14,0.11712456960686764,T1,True,0.32662297921010075,0.35475057452949416,1,1,1,1
b13,1.0,7,15,0.11357393664336571,T1,True,0.32732421333762657,0.35551219641605303,1,1,1,1
b13,1.0,7,16,0.11137224792080432,T1,True,0.32725718892022104,0.3554394000970689,1,1,1,1
b13,1.0,7,21,0.12484345663425912,T1,True,0.31079811235626253,0.3407796954440041,0,0,1,0
b13,1.0,7,22,0.11703345915316399,T1,True,0.3263473981587716,0.3544512614299539,1,1,1,1
b13,1.0,7,23,0.11370303674598492,T1,True,0.3264042570165051,0.354513016767857,1,1,1,1
b13,1.0,7,24,0.11512028448433492,T1,True,0.32774521943108986,0.3559694580389116,1,1,1,1
b13,1.0,7,25,0.11460821175141923,T1,True,0.32706881353965306,0.35523480250676676,1,1,1,1
b13,1.0,7,26,0.11701136413483972,T1,True,0.3281032660652321,0.3563583383604294,1,1,1,1
b13,1.0,7,27,0.12101883213659526,T1,True,0.3283904765247288,0.35667028235090964,1,1,1,1
b13,1.0,7,28,0.1155356381011126,T1,True,0.3273111563240955,0.3554980149795143,1,1,1,1
b13,1.0,7,40,0.11622318322582066,T1,True,0.3277094653934698,0.3559306249922652,1,1,1,1
b13,1.0,7,41,0.11576164454085221,T1,True,0.3270444655852833,0.35520835779420495,1,1,1,1
b13,1.0,8,1,0.11586699021200746,T1,True,0.32740998033720575,0.35938642582081337,1,1,1,1
b13,1.0,8,2,0.11545054073840581,T1,True,0.32652861977510966,0.35841898731467836,1,1,1,1
b13,1.0,8,3,0.1189782439651032,T1,True,0.3269291387547622,0.358858622919013,1,1,1,1
b13,1.0,8,4,0.11825851298523662,T1,True,0.32586256524354995,0.35768788266951007,1,1,1,1
b13,1.0,8,5,0.11485808738756059,T1,True,0.3277384507554404,0.35974697625203617,1,1,1,1
b13,1.0,8,6,0.11447472555959934,T1,True,0.3255496962309016,0.35734445735275583,1,1,1,1
b13,1.0,8,7,0.11698021967667714,T1,True,0.325531645553955,0.35732464375921547,1,1,1,1
b13,1.0,8,8,0.11350329672613052,T1,True,0.3272897934431368,0.35925450089217975,1,1,1,1
b13,1.0,8,9,0.12248167499632073,T1,True,0.31304111462525197,0.3402698390495341,0,0,0,0
b13,1.0,8,10,0.11543847173056249,T1,True,0.3278562543411085,0.3598762851068198,1,1,1,1
b13,1.0,8,11,0.11327582304140613,T1,True,0.32742883163184994,0.359407118224256,1,1,1,1
b13,1.0,8,12,0.11626614420435746,T1,True,0.32624212398988994,0.35810451096256224,1,1,1,1
b13,1.0,8,13,0.1133954598278676,T1,True,0.3273976135323314,0.35937285121383883,1,1,1,1
b13,1.0,8,14,0.11607506733866174,T1,True,0.32662297921010075,0.358522562349407,1,1,1,1
b13,1.0,8,15,0.11241972053242434,T1,True,0.32732421333762657,0.3592922824003826,1,1,1,1
b13,1.0,8,16,0.11059014646716693,T1,True,0.32725718892022104,0.35921871205353706,1,1,1,1
b13,1.0,8,21,0.12349677832283662,T1,True,0.31079811235626253,0.3421384864068734,0,0,1,0
b13,1.0,8,22,0.11638982283903945,T1,True,0.3263473981587716,0.3582200667169919,1,1,1,1
b13,1.0,8,23,0.1137272171403759,T1,True,0.3264042570165051,0.35828247868634,1,1,1,1
b13,1.0,8,24,0.11424942964963007,T1,True,0.32774521943108986,0.35975440598935415,1,1,1,1
b13,1.0,8,25,0.11338029216166441,T1,True,0.32706881353965306,0.35901193902033496,1,1,1,1
b13,1.0,8,26,0.11609550944576376,T1,True,0.3281032660652321,0.36014742119307225,1,1,1,1
b13,1.0,8,27,0.11983064026130015,T1,True,0.3283904765247288,0.36046268201801895,1,1,1,1
