outcome,cntry,threshold,core,cdf_first,cdf_last,cdf_diff,cdf_lower
trstprl,HU,1,True,0.11511317781503602,0.19124981414514228,0.07613663633010626,0.032873675773364745
trstprl,HU,2,True,0.1787642683761543,0.27281259825972987,0.09404832988357556,0.04297492166180818
trstprl,HU,3,True,0.2855699120723308,0.3537841288062365,0.06821421673390571,0.011250893073844609
trstprl,HU,4,True,0.36375185890402045,0.4516771128652364,0.08792525396121592,0.02455565915832833
trstprl,HU,5,False,0.6262394036041783,0.6071642031018238,-0.01907520050235445,-0.08035070201112496
trstprl,HU,6,False,0.7248798771805366,0.7215067737606001,-0.003373103419936463,-0.059558303726513336
trstprl,HU,7,False,0.8121103086124701,0.8268385376091973,0.01472822899672721,-0.03158136008322601
trstprl,HU,8,False,0.9177585118260256,0.9169357250310057,-0.000822786795019903,-0.03361075772559189
trstprl,HU,9,False,0.944447936335325,0.9481865170490356,0.003738580713710582,-0.023526294592798962
trstprl,IL,0,False,0.10881493627191706,0.18733474765837582,0.07851981138645876,0.03083749721283984
trstprl,IL,1,True,0.16203023389308868,0.24997783579525246,0.08794760190216377,0.03418917202112288
trstprl,IL,2,True,0.242523167909369,0.3575466755142825,0.11502350760491348,0.05459139249703915
trstprl,IL,3,True,0.34476682565480815,0.4521536770631714,0.10738685140836324,0.04238864843088515
trstprl,IL,4,True,0.43926547428400825,0.5305296431545213,0.09126416887051308,0.025700110809610655
trstprl,IL,5,False,0.6264707082101897,0.6756649610094202,0.04919425279923051,-0.013803531076338998
trstprl,IL,6,False,0.7328319750878481,0.8106911140138272,0.07785913892597907,0.02315787827490358
trstprl,IL,7,False,0.8335932701871072,0.9193314868716501,0.08573821668454296,0.0442508959467986
trstprl,IL,8,False,0.9221762003713602,0.9726652413119168,0.05048904094055662,0.02378795467670562
trstprl,IL,9,False,0.9560484519121187,0.9856389841099465,0.029590532197827812,0.009070079439818302
trstprl,IT,0,False,0.05529740401791736,0.10406435621127638,0.04876695219335902,0.014014889879507018
