rho_true,rho_hat,branch,stable,cov_adaptive,cov_T1,cov_T3,w_T1,w_T3,w_T2
0.1,0.10825074803753192,T1,True,1,1,1,0.19047705300912648,0.18927603169832818,0.20519041202057084
0.1,0.1013332170032109,T1,True,1,1,1,0.23572965543061217,0.2341744921341895,0.2546321098226405
0.1,0.10507442692766707,T1,True,1,1,1,0.2453556924247706,0.24412909164265667,0.26354750215675143
0.1,0.09548120897253416,T1,True,1,1,1,0.2729946282382797,0.2715734073229609,0.29338839104169545
0.1,0.11068046190952432,T1,True,1,1,1,0.20845178233467468,0.2065731620675249,0.2279835581452306
0.1,0.1007094379418564,T1,True,0,0,0,0.20157878367660123,0.2006353346112992,0.22052747673656417
0.1,0.10686807263568052,T1,True,1,1,1,0.2035160429195245,0.20256494176448475,0.21901475064289244
0.1,0.10305809596771627,T1,True,1,1,1,0.22765290375687647,0.22650174229115394,0.2423361800582305
0.1,0.1121644095976681,T1,True,1,1,1,0.2021702868281545,0.20065700698772718,0.2199453904079459
0.1,0.115710530402165,T1,True,1,1,1,0.2274294242916794,0.22615454563503654,0.2413250439263879
0.1,0.10291982135187189,T1,True,1,1,1,0.22829096567699705,0.2269862476266722,0.2494662981602702
0.1,0.09261992554393599,T1,True,1,1,1,0.23263793217856854,0.2317400006713077,0.25008084913065287
0.1,0.1033795716857869,T1,True,1,1,1,0.22382324639972961,0.22222886970045075,0.24242858787057306
0.1,0.11481433870995392,T1,True,1,1,1,0.1951235747801372,0.19414908437510708,0.21010459923231314
0.1,0.10176485736245182,T1,True,1,1,1,0.22099152507444716,0.22004859626636575,0.24001280116516863
0.1,0.11212419157073594,T1,True,1,1,1,0.2133422665592456,0.2124440098245703,0.22920098362049277
0.1,0.09880526223866211,T1,True,1,1,1,0.23071336431152975,0.22947792695523164,0.2493832250153496
0.1,0.0950716878909739,T1,True,0,0,0,0.24555725702230136,0.24459843946414928,0.2588530609742434
0.1,0.10485593907707597,T1,True,1,1,1,0.2028766838235715,0.20210754247036344,0.2197859019851188
0.1,0.10067642724581644,T1,True,1,1,1,0.2291704336753943,0.22797391132375439,0.24227761734891357
0.1,0.10345974398093441,T1,True,1,1,1,0.2421247435099449,0.24072842954166757,0.2580545594346492
0.1,0.11618216864669556,T1,True,0,0,0,0.1889059967517802,0.1876849592181592,0.20409066440556145
0.1,0.0934570206465583,T1,True,1,1,1,0.23794330411760192,0.2369960597347681,0.2539942792602877
0.1,0.0965240119434195,T1,True,1,1,1,0.24696690390091242,0.24550242785975845,0.2674513152475338
0.1,0.09666617402817902,T1,True,1,1,1,0.26657971365872135,0.2653838649733215,0.2831775935080027
0.1,0.10681276423437482,T1,True,1,1,1,0.22325066565944515,0.22180045752305616,0.24156450810898972
0.1,0.10080684851982247,T1,True,1,1,1,0.2205164749959755,0.21971055027451686,0.23365199286728666
0.1,0.09706960647161944,T1,True,1,1,1,0.262029569273,0.2606247525242821,0.28182193070486516
0.1,0.11543622126274905,T1,True,1,1,1,0.18680259586676815,0.18584745918258355,0.20127892472059547
0.1,0.09696570514458566,T1,True,1,1,1,0.26106651693839544,0.25873849344533273,0.2838757357526854
0.1,0.1044241102931626,T1,True,1,1,0,0.23867963432966832,0.2373073167740037,0.257096506025868
0.1,0.10383087034332336,T1,True,0,0,0,0.2252495217304971,0.2237016317763226,0.24406666673432081
0.1,0.09457885198059887,T1,True,1,1,1,0.30663420884352355,0.3049861086916453,0.32747412566450207
0.1,0.10201695814356755,T1,True,1,1,1,0.2360075306868747,0.23431289065699545,0.2561362413045208
0.1,0.10712199388319285,T1,True,1,1,1,0.23976825395797557,0.2372211890307869,0.26111664030749626
0.1,0.11522272915522469,T1,True,1,1,1,0.1846571373209167,0.1832264722920957,0.20073515411079393
