outcome,layer,cntry,essround,n,gap,m2_marg,m2_sim,m2_width,pcb_sim,pcb_width,da_sim,da_width,da_width_deploy
trstprl,all,ME,10,1241,1,0.7,0.0,0.18746653473103642,1.0,0.29401708027745777,,,
trstprl,all,ME,11,1555,1,0.9,0.0,0.18746653473103642,1.0,0.29256083079784434,,,
trstprl,all,NL,2,1864,1,0.8,0.0,0.1861537205379075,1.0,0.2465323321946789,,,
trstprl,all,NL,3,1861,1,0.7,0.0,0.1861537205379075,1.0,0.25516256143534555,,,
trstprl,all,NL,4,1761,1,1.0,1.0,0.1861537205379075,1.0,0.23995478103969897,,,
trstprl,all,NL,5,1802,1,1.0,1.0,0.1861537205379075,1.0,0.23776786975696815,,,
trstprl,all,NL,6,1824,1,1.0,1.0,0.1861537205379075,1.0,0.24594863606438197,,,
trstprl,all,NL,7,1903,1,1.0,1.0,0.1861537205379075,1.0,0.2457718325067441,,,
trstprl,all,NL,8,1662,1,1.0,1.0,0.1861537205379075,1.0,0.25107781314216776,,,
trstprl,all,NL,9,1637,1,1.0,1.0,0.1861537205379075,1.0,0.2415141490838249,,,
trstprl,all,NL,10,1455,1,1.0,1.0,0.1861537205379075,1.0,0.23358843553164615,,,
trstprl,all,NL,11,1675,1,1.0,1.0,0.1861537205379075,1.0,0.24520723917248938,,,
trstprl,all,NO,2,1749,1,1.0,1.0,0.18657431015974169,1.0,0.24713054935019585,,,
trstprl,all,NO,3,1743,1,1.0,1.0,0.18657431015974169,1.0,0.2561505980599622,,,
trstprl,all,NO,4,1537,1,1.0,1.0,0.18657431015974169,1.0,0.25287120441637956,,,
trstprl,all,NO,5,1538,1,0.9,0.0,0.18657431015974169,1.0,0.24814454433497962,,,
trstprl,all,NO,6,1605,1,1.0,1.0,0.18657431015974169,1.0,0.2409560935805069,,,
trstprl,all,NO,7,1429,1,0.6,0.0,0.18657431015974169,0.0,0.2351819212153538,,,
trstprl,all,NO,8,1540,1,1.0,1.0,0.18657431015974169,1.0,0.22620741014001852,,,
trstprl,all,NO,9,1400,1,0.9,0.0,0.18657431015974169,1.0,0.22474621828471059,,,
trstprl,all,NO,10,1407,1,0.9,0.0,0.18657431015974169,1.0,0.2289224499779099,,,
trstprl,all,NO,11,1331,1,0.8,0.0,0.18657431015974169,0.0,0.22219241975508003,,,
trstprl,all,PL,2,1680,1,0.5,0.0,0.17909606438431563,0.0,0.2677048491317236,,,
trstprl,all,PL,3,1678,1,1.0,1.0,0.17909606438431563,1.0,0.2509171795615184,,,
trstprl,all,PL,4,1562,1,1.0,1.0,0.17909606438431563,1.0,0.25696135273626536,,,
trstprl,all,PL,5,1689,1,1.0,1.0,0.17909606438431563,1.0,0.25734865237854054,,,
trstprl,all,PL,6,1849,1,1.0,1.0,0.17909606438431563,1.0,0.270656248072156,,,
trstprl,all,PL,7,1567,1,1.0,1.0,0.17909606438431563,1.0,0.26574718949965226,,,
trstprl,all,PL,8,1645,1,1.0,1.0,0.17909606438431563,1.0,0.2620958456534316,,,
trstprl,all,PL,9,1456,1,1.0,1.0,0.17909606438431563,1.0,0.28055534989625974,,,
trstprl,all,PL,10,2029,1,0.4,0.0,0.17909606438431563,1.0,0.28222682646436076,,,
trstprl,all,PL,11,1403,1,0.2,0.0,0.17909606438431563,1.0,0.26779234699278537,,,
trstprl,all,PT,2,1971,1,0.9,0.0,0.18701900421959608,1.0,0.2772997506807295,,,
trstprl,all,PT,3,2059,1,1.0,1.0,0.18701900421959608,1.0,0.2743074477803321,,,
trstprl,all,PT,4,2221,1,1.0,1.0,0.18701900421959608,1.0,0.27901157924018055,,,
trstprl,all,PT,5,2058,1,1.0,1.0,0.18701900421959608,1.0,0.2779834162981062,,,
trstprl,all,PT,6,2113,1,1.0,1.0,0.18701900421959608,1.0,0.26735008817326045,,,
trstprl,all,PT,7,1227,1,0.8,0.0,0.18701900421959608,1.0,0.2578272276877783,,,
trstprl,all,PT,8,1244,1,0.8,0.0,0.18701900421959608,1.0,0.28009238968468825,,,
trstprl,all,PT,9,1017,1,1.0,1.0,0.18701900421959608,1.0,0.2906018803530289,,,
trstprl,all,PT,10,1771,1,1.0,1.0,0.18701900421959608,1.0,0.2921929821041824,,,
trstprl,all,PT,11,1337,1,1.0,1.0,0.18701900421959608,1.0,0.28655798197732985,,,
trstprl,all,RS,10,1477,1,0.8,0.0,0.18786490681280368,0.0,0.29335846867047105,,,
trstprl,all,RS,11,1456,1,0.8,0.0,0.18786490681280368,0.0,0.29246367019588015,,,
trstprl,all,RU,4,2361,1,1.0,1.0,0.1873384983396425,1.0,0.2820809372976923,,,
trstprl,all,RU,5,2425,1,1.0,1.0,0.1873384983396425,1.0,0.2907369596732431,,,
trstprl,all,RU,6,2349,1,1.0,1.0,0.1873384983396425,1.0,0.29173003708311274,,,
trstprl,all,RU,8,2326,2,0.6,0.0,0.1873384983396425,0.0,0.2861652667711961,,,
trstprl,all,SE,2,1908,1,0.8,0.0,0.18524410489217585,1.0,0.24424040251445067,,,
trstprl,all,SE,3,1879,1,1.0,1.0,0.18524410489217585,1.0,0.2587008783042196,,,
trstprl,all,SE,4,1798,1,1.0,1.0,0.18524410489217585,1.0,0.24855626150777882,,,
trstprl,all,SE,5,1466,1,0.8,0.0,0.18524410489217585,0.0,0.24730982948358227,,,
trstprl,all,SE,6,1807,1,0.9,0.0,0.18524410489217585,1.0,0.23182552112031102,,,
trstprl,all,SE,7,1760,1,0.8,0.0,0.18524410489217585,1.0,0.24919665704990127,,,
trstprl,all,SE,8,1532,1,1.0,1.0,0.18524410489217585,1.0,0.24478130759521716,,,
trstprl,all,SE,9,1526,1,0.9,0.0,0.18524410489217585,1.0,0.2490993627424621,,,
trstprl,all,SE,10,2265,1,1.0,1.0,0.18524410489217585,1.0,0.24592669977252624,,,
trstprl,all,SE,11,1223,1,0.8,0.0,0.18524410489217585,1.0,0.2627584140714695,,,
trstprl,all,SI,2,1387,1,1.0,1.0,0.18522830272353574,1.0,0.2812142072538836,,,
trstprl,all,SI,3,1404,1,1.0,1.0,0.18522830272353574,1.0,0.27836734844733185,,,
trstprl,all,SI,4,1243,1,1.0,1.0,0.18522830272353574,1.0,0.28043299223280294,,,
trstprl,all,SI,5,1341,1,0.3,0.0,0.18522830272353574,0.0,0.27463989576802383,,,
trstprl,all,SI,6,1214,1,1.0,1.0,0.18522830272353574,1.0,0.2641891848439308,,,
trstprl,all,SI,7,1182,1,1.0,1.0,0.18522830272353574,1.0,0.26652850672380934,,,
trstprl,all,SI,8,1284,1,0.7,0.0,0.18522830272353574,1.0,0.26571292099635285,,,
trstprl,all,SI,9,1284,1,1.0,1.0,0.18522830272353574,1.0,0.27294232525854206,,,
trstprl,all,SI,10,1229,1,1.0,1.0,0.18522830272353574,1.0,0.2761561748483451,,,
trstprl,all,SI,11,1225,1,1.0,1.0,0.18522830272353574,1.0,0.2801125111687456,,,
trstprl,all,SK,3,1726,1,0.4,0.0,0.1859604952102048,1.0,0.27017937938316516,,,
trstprl,all,SK,4,1778,1,1.0,1.0,0.1859604952102048,1.0,0.2760181286796598,,,
trstprl,all,SK,5,1821,1,1.0,1.0,0.1859604952102048,1.0,0.27937847032937785,,,
trstprl,all,SK,6,1826,1,1.0,1.0,0.1859604952102048,1.0,0.2688085244152883,,,
trstprl,all,SK,9,1072,3,0.7,0.0,0.1859604952102048,1.0,0.2768607933056514,,,
trstprl,all,SK,10,1397,1,1.0,1.0,0.1859604952102048,1.0,0.292256524209889,,,
trstprl,all,SK,11,1432,1,1.0,1.0,0.1859604952102048,1.0,0.2873239248677967,,,
trstprl,all,TR,4,2360,2,0.7,0.0,0.18509294593214323,0.0,0.2837663703512553,,,
trstprl,all,UA,3,1925,1,0.0,0.0,0.18338805560766866,0.0,0.28732111289483564,,,
trstprl,all,UA,4,1788,1,0.8,0.0,0.18338805560766866,1.0,0.2614532011701268,,,
trstprl,all,UA,5,1858,1,0.9,0.0,0.18338805560766866,1.0,0.23629570636108718,,,
trstprl,all,UA,6,2103,1,1.0,1.0,0.18338805560766866,1.0,0.24603687553419346,,,
trstprl,all,UA,11,2601,5,1.0,1.0,0.18338805560766866,1.0,0.24231212159114163,,,
trstprl,core,AT,10,1987,1,0.8,0.0,0.16911563966141754,1.0,0.2897208454178001,1.0,0.2913685950673189,0.2853174745957213
trstprl,core,AT,11,2328,1,1.0,1.0,0.16911563966141754,1.0,0.31333565753156456,1.0,0.31505138170808217,0.3086050390699875
trstprl,core,BE,10,1319,1,1.0,1.0,0.17401953747954424,1.0,0.2974818465333436,1.0,0.2988361975694179,0.29357108249356917
trstprl,core,BE,11,1565,1,1.0,1.0,0.17401953747954424,1.0,0.30658199495001603,1.0,0.30712272641524163,0.30267123091024156
trstprl,core,BG,10,2691,1,0.9,0.0,0.17391891110761362,1.0,0.2825317716354455,1.0,0.2839204589049315,0.27885177297522507
trstprl,core,BG,11,2216,1,1.0,1.0,0.17391891110761362,1.0,0.28055724063215026,1.0,0.2808709418130461,0.2768772419719297
trstprl,core,CH,10,1440,1,1.0,1.0,0.17401953747954424,1.0,0.2602242908257183,1.0,0.26008187831381113,0.25558682962498624
trstprl,core,CH,11,1326,1,1.0,1.0,0.17401953747954424,1.0,0.2528955772947355,1.0,0.2528097037004655,0.24825811609400333
trstprl,core,CY,10,872,1,1.0,1.0,0.17401953747954424,1.0,0.2980263308683665,1.0,0.30800009464409134,0.29414590122461765
trstprl,core,CY,11,676,1,1.0,1.0,0.17401953747954424,1.0,0.309106520434251,1.0,0.3183515063713237,0.3048925214070161
trstprl,core,CZ,10,2417,1,0.9,0.0,0.17343234665462137,1.0,0.31333320533740205,1.0,0.3094106861781327,0.3057142287143216
trstprl,core,DE,10,8559,1,1.0,1.0,0.17401953747954424,1.0,0.3104830781328073,1.0,0.30701904528452306,0.30621985173530025
trstprl,core,DE,11,2402,1,1.0,1.0,0.17401953747954424,1.0,0.3136000268128527,1.0,0.3169178026853752,0.30933680041534567
trstprl,core,EE,10,1523,1,1.0,1.0,0.17401953747954424,1.0,0.3109328845834664,1.0,0.3112282290733698,0.30609567850808456
trstprl,core,EE,11,1271,1,1.0,1.0,0.17401953747954424,1.0,0.3077483205084969,1.0,0.30781964784032856,0.302911114433115
trstprl,core,ES,10,2244,1,0.9,0.0,0.17343149082643494,1.0,0.31247742239439413,1.0,0.3112384708047776,0.3079207019329502
trstprl,core,ES,11,1795,1,0.9,0.0,0.17343149082643494,1.0,0.3220489520269775,1.0,0.32239380886723806,0.31717364472380105
trstprl,core,FI,10,1574,1,0.7,0.0,0.17122176498936875,0.0,0.272114664082849,0.0,0.26953733025099424,0.26690087037797283
