outcome,pais,country,y0,y1,n0,n_upm,M0,M1,M2,M3,deff_ratio,signal
sat,6,Costa Rica,2012,2014,1498,30,0,0,0,0,1.2343043347515412,-0.023196721311475436
sat,6,Costa Rica,2014,2023,1537,30,1,1,1,1,1.179964696789642,0.07332894419206884
sat,7,PanamÃ¡,2004,2006,1639,104,1,0,0,0,1.3381283958256214,0.03276937466447503
sat,7,PanamÃ¡,2006,2008,1536,76,0,0,0,0,1.4224922186651592,-0.06125796033862585
sat,7,PanamÃ¡,2008,2010,1536,76,0,0,0,0,1.4282716396353898,-0.14019533014532937
sat,7,PanamÃ¡,2010,2012,1536,76,1,1,1,1,1.284477075355035,0.06932253044771251
sat,7,PanamÃ¡,2012,2014,1620,62,1,0,0,0,1.151601170598556,0.023667794004607584
sat,7,PanamÃ¡,2014,2023,1508,61,1,1,1,1,1.104454310979781,0.2471754350726675
sat,8,Colombia,2004,2006,1479,61,0,0,0,0,1.311241841947888,-0.005288221010115786
sat,8,Colombia,2006,2008,1491,60,0,0,0,0,1.274432843150888,0.010237734172755537
sat,8,Colombia,2008,2010,1503,61,0,0,0,0,1.1421385801892943,-0.01310068270696628
sat,8,Colombia,2010,2012,1506,56,1,0,0,0,1.0964635097361928,0.01604270810693329
sat,8,Colombia,2012,2014,1512,73,1,1,1,1,1.1039774787855519,0.12063953488372094
sat,8,Colombia,2014,2018,1496,63,1,1,1,1,1.1648216148522912,0.0689281288723668
sat,8,Colombia,2018,2023,1663,63,0,0,0,0,1.0280915250264266,-0.0019545360996079536
sat,9,Ecuador,2004,2006,3000,103,1,1,1,1,1.352408770538202,0.053976169674969945
sat,9,Ecuador,2006,2008,2925,103,0,0,0,0,1.4719435623626822,-0.22529075243741772
sat,9,Ecuador,2008,2010,3000,86,1,1,0,0,1.4582623316030936,0.02641185198497889
sat,9,Ecuador,2010,2012,2999,78,0,0,0,0,1.135136677069312,-0.06166431391770009
sat,9,Ecuador,2012,2016,1500,79,1,1,1,1,1.0091318332315546,0.08562540478716804
sat,9,Ecuador,2016,2023,1545,81,1,1,1,1,0.9830421577493614,0.17179644461119398
sat,10,Bolivia,2004,2006,3072,152,0,0,0,0,1.2484398468115623,-0.0625910575348506
sat,10,Bolivia,2006,2008,3008,115,1,1,1,1,1.3924716322074524,0.05819459363778864
sat,11,PerÃº,2006,2008,1500,126,0,0,0,0,1.213596021482225,0.0016703911709645275
sat,11,PerÃº,2008,2010,1500,128,0,0,0,0,1.2479162377437398,-0.02494232673996495
sat,11,PerÃº,2010,2012,1500,128,0,0,0,0,1.2168601919755553,-0.0787932926799258
sat,11,PerÃº,2012,2014,1500,110,1,1,1,1,1.3180000321078276,0.08648866833075794
sat,11,PerÃº,2014,2017,1500,125,1,1,1,1,1.3626112068270086,0.07552739725622346
sat,11,PerÃº,2017,2019,2647,171,1,0,0,0,1.0832549784433578,0.015183300824251997
sat,11,PerÃº,2019,2023,1521,125,1,1,1,1,1.0516641255384527,0.06243268189998073
sat,12,Paraguay,2006,2008,1165,120,0,0,0,0,1.18612723853773,-0.0384015294008819
sat,12,Paraguay,2008,2010,1166,121,0,0,0,0,1.1136989149502097,-0.29182275792337403
sat,12,Paraguay,2010,2012,1501,96,1,0,0,0,1.0395289859063155,0.03355746184991723
sat,12,Paraguay,2012,2014,1510,57,0,0,0,0,1.1274869431161376,0.0158510280596165
sat,12,Paraguay,2014,2016,1503,63,1,1,1,1,1.1182734130940977,0.09248317526176275
sat,12,Paraguay,2016,2019,1528,57,0,0,0,0,1.0135180368880903,-0.06435874429291707
sat,12,Paraguay,2019,2023,1515,63,0,0,0,0,1.0401330084789702,0.04177137490279156
sat,13,Chile,2006,2008,1517,78,1,0,0,0,1.212026215239844,0.05365706414529623
sat,14,Uruguay,2007,2008,1200,59,1,0,0,0,1.0843152072197868,0.018402732634415594
sat,14,Uruguay,2008,2010,1500,59,0,0,0,0,1.0257199951176867,-0.07055675610502593
sat,14,Uruguay,2010,2012,1500,59,1,0,0,0,0.993434453106994,0.05421287325193192
sat,14,Uruguay,2012,2014,1512,61,1,0,0,0,1.0044560471550512,0.015511420522014483
sat,15,Brasil,2007,2008,1214,122,0,0,0,0,1.3721250539489607,-0.1298274492723919
sat,15,Brasil,2008,2010,1497,122,0,0,0,0,1.7973322668694696,-0.041581789272516344
sat,15,Brasil,2010,2012,2482,54,0,0,0,0,1.436686337020053,0.005664702998222332
sat,15,Brasil,2012,2014,1499,124,1,1,1,1,1.240800563737623,0.14428309014401758
sat,16,16,2007,2008,1510,60,0,0,0,0,1.636061939878744,-0.0496086927322254
sat,21,RepÃºblica Dominicana,2004,2006,4460,119,0,0,0,0,1.0880991170634593,-0.2627949441982018
