iso,country,item,K_item,p_persistent,p_le_alpha10,certifies_alpha10,n_waves,first_wave,last_wave
422,Lebanon,imp_dem,59,0.0029985007496251873,True,True,2,6,7
218,Ecuador,imp_dem,59,0.06446776611694154,True,True,2,6,7
484,Mexico,imp_dem,59,0.0879560219890055,True,True,3,5,7
860,Uzbekistan,imp_dem,59,0.1724137931034483,False,False,2,6,7
704,704,imp_dem,59,0.25987006496751625,False,False,2,5,7
36,36,imp_dem,59,0.40679660169915044,False,False,3,5,7
344,Hong Kong SAR,imp_dem,59,0.4427786106946527,False,False,2,6,7
780,Trinidad and Tobago,imp_dem,59,0.45177411294352826,False,False,2,5,6
410,410,imp_dem,59,0.638680659670165,False,False,3,5,7
840,840,imp_dem,59,0.7786106946526736,False,False,3,5,7
152,152,imp_dem,59,1.0,False,False,3,5,7
156,156,imp_dem,59,1.0,False,False,3,5,7
158,158,imp_dem,59,1.0,False,False,3,5,7
170,170,imp_dem,59,1.0,False,False,3,5,7
20,20,imp_dem,59,1.0,False,False,2,5,7
276,276,imp_dem,59,1.0,False,False,3,5,7
32,32,imp_dem,59,1.0,False,False,3,5,7
356,356,imp_dem,59,1.0,False,False,3,5,7
360,360,imp_dem,59,1.0,False,False,2,5,7
364,364,imp_dem,59,1.0,False,False,2,5,7
392,392,imp_dem,59,1.0,False,False,3,5,7
400,400,imp_dem,59,1.0,False,False,3,5,7
417,417,imp_dem,59,1.0,False,False,2,6,7
458,458,imp_dem,59,1.0,False,False,3,5,7
504,504,imp_dem,59,1.0,False,False,3,5,7
51,51,imp_dem,59,1.0,False,False,2,6,7
528,528,imp_dem,59,1.0,False,False,3,5,7
554,554,imp_dem,59,1.0,False,False,2,6,7
566,566,imp_dem,59,1.0,False,False,2,6,7
586,586,imp_dem,59,1.0,False,False,2,6,7
604,604,imp_dem,59,1.0,False,False,3,5,7
642,642,imp_dem,59,1.0,False,False,3,5,7
643,643,imp_dem,59,1.0,False,False,3,5,7
688,688,imp_dem,59,1.0,False,False,2,5,7
702,702,imp_dem,59,1.0,False,False,2,6,7
705,705,imp_dem,59,1.0,False,False,2,5,6
716,716,imp_dem,59,1.0,False,False,2,6,7
724,724,imp_dem,59,1.0,False,False,2,5,6
76,76,imp_dem,59,1.0,False,False,3,5,7
764,764,imp_dem,59,1.0,False,False,3,5,7
804,804,imp_dem,59,1.0,False,False,3,5,7
858,858,imp_dem,59,1.0,False,False,3,5,7
196,Cyprus,imp_dem,59,1.0,False,False,3,5,7
818,Egypt,imp_dem,59,1.0,False,False,3,5,7
231,Ethiopia,imp_dem,59,1.0,False,False,2,5,7
434,Libya,imp_dem,59,1.0,False,False,2,6,7
616,Poland,imp_dem,59,1.0,False,False,2,5,6
826,United Kingdom,imp_dem,59,1.0,False,False,2,5,7
8,Albania,rej_army,76,0.0004997501249375312,True,True,2,3,4
70,Bosnia and Herzegovina,rej_army,76,0.0004997501249375312,True,True,2,3,4
112,Belarus,rej_army,76,0.0029985007496251873,True,True,2,3,6
756,Switzerland,rej_army,76,0.0034982508745627187,True,True,2,3,5
246,Finland,rej_army,76,0.006496751624187906,True,True,2,3,5
780,Trinidad and Tobago,rej_army,76,0.035982008995502246,True,True,2,5,6
862,862,rej_army,76,0.44627686156921537,False,False,3,3,7
218,Ecuador,rej_army,76,0.47726136931534235,False,False,2,6,7
196,Cyprus,rej_army,76,0.7341329335332334,False,False,3,5,7
158,158,rej_army,76,0.9885057471264368,False,False,4,3,7
152,152,rej_army,76,1.0,False,False,5,3,7
156,156,rej_army,76,1.0,False,False,4,4,7
170,170,rej_army,76,1.0,False,False,4,3,7
20,20,rej_army,76,1.0,False,False,2,5,7
276,276,rej_army,76,1.0,False,False,4,3,7
32,32,rej_army,76,1.0,False,False,5,3,7
356,356,rej_army,76,1.0,False,False,5,3,7
36,36,rej_army,76,1.0,False,False,4,3,7
360,360,rej_army,76,1.0,False,False,3,4,7
364,364,rej_army,76,1.0,False,False,3,4,7
392,392,rej_army,76,1.0,False,False,5,3,7
400,400,rej_army,76,1.0,False,False,4,4,7
410,410,rej_army,76,1.0,False,False,5,3,7
417,417,rej_army,76,1.0,False,False,3,4,7
