rho_true,rho_hat,branch,cov_T3,cov_T3_safe,cov_adaptive_safe,w_T3,w_T3_safe,w_T1
0.1,0.09895031304521269,T1,1,1,1,0.2459313536813405,0.2458978641881638,0.24688543432324106
0.1,0.11063344798427735,T1,1,1,1,0.2011153517326709,0.20110545778250966,0.2024234330685178
0.1,0.12341348410474921,T1,1,1,1,0.19295469004387805,0.19286391676136674,0.19407707304322402
0.1,0.11104740048552154,T1,1,1,1,0.2251413535830814,0.22511382490493342,0.22627496744447792
0.1,0.10212517322127465,T1,0,0,0,0.2574675451861911,0.25749686434637353,0.2590285457019753
0.1,0.11137740257722728,T1,1,1,1,0.20209014880103038,0.20212036686829948,0.20357410082547814
0.1,0.10331791373366815,T1,1,1,1,0.2151926483645306,0.21523537749344485,0.2165862337183005
0.1,0.11185738032295753,T1,1,1,1,0.20654749071627584,0.20656708253637096,0.2087441769809299
0.1,0.09907502555795976,T1,1,1,1,0.22045678254819778,0.22044815367947457,0.2211148406241191
0.1,0.10164447026171766,T1,1,1,1,0.2085449134589657,0.20855447814551067,0.20911576368736762
0.1,0.09946286497452071,T1,1,1,1,0.26352781272026865,0.2635349834451202,0.2658350676570046
0.1,0.09834427572711611,T1,1,1,1,0.21900411096448189,0.21896150030332143,0.22048376065700517
0.1,0.10131322336981535,T1,1,1,1,0.2263369978657468,0.2263749918651068,0.22787092742642814
0.1,0.09466000626557448,T1,1,1,1,0.2746934650050413,0.27468225679681824,0.27615769527065087
0.1,0.10252511815295341,T1,1,1,1,0.2319921681008189,0.23199611375951182,0.23291681433389352
0.1,0.10489570089312876,T1,0,0,0,0.2171177926601614,0.21712399255422357,0.2180954718023777
0.1,0.11011002466544342,T1,0,0,1,0.17754594128901346,0.1775882059300899,0.1785488829250369
0.1,0.11220782286438563,T1,1,1,1,0.20463366729355384,0.20465851965120907,0.20581434272954835
0.1,0.09948734545893811,T1,1,1,1,0.22253830694244334,0.22245359868374698,0.22353513990167026
0.1,0.10180848665154094,T1,1,1,1,0.21356155966380835,0.21355248810495958,0.21430856019997863
0.1,0.09729059935641388,T1,1,1,1,0.20218745454183437,0.20217462266255345,0.2032976046471638
0.1,0.10249192799030196,T1,0,0,0,0.20982596516695404,0.20980513097624268,0.21110502011250398
0.1,0.1112110907893076,T1,0,0,0,0.2127698483652139,0.21278619180707276,0.21456596267788836
0.1,0.09686394731713285,T1,1,1,1,0.2697385029878088,0.2696929366117546,0.2714216907391252
0.1,0.11079852596045812,T1,1,1,1,0.21102181801846673,0.21101615243464467,0.2123759758333516
0.1,0.1225380729354443,T1,1,1,1,0.19066006188299384,0.19067253100579742,0.1917549814688694
0.1,0.09916059276068288,T1,1,1,1,0.23375392929493433,0.23374871878522915,0.23519364174614574
0.1,0.10975484427140904,T1,1,1,1,0.22215216753315553,0.2221704960033396,0.22354817856673534
