age_group,outcome,cntry,n_pairs,pair_plugin,pair_da,any_plugin,any_da,net_plugin,net_da,persist_plugin,persist_da,persist_da_bonf
mid_30_49,trstprl,FI,2,1,0,True,False,False,False,False,False,False
mid_30_49,trstprl,FR,2,1,0,True,False,False,False,False,False,False
mid_30_49,trstprl,GB,2,2,0,True,False,True,True,True,False,False
mid_30_49,trstprl,GR,1,1,1,True,True,True,True,True,True,False
mid_30_49,trstprl,HR,2,1,0,True,False,False,False,False,False,False
mid_30_49,trstprl,HU,2,1,1,True,True,True,False,False,False,False
mid_30_49,trstprl,IE,2,0,0,False,False,False,False,False,False,False
mid_30_49,trstprl,IL,1,0,0,False,False,False,False,False,False,False
mid_30_49,trstprl,IS,2,1,1,True,True,False,False,False,False,False
mid_30_49,trstprl,IT,2,0,0,False,False,False,False,False,False,False
mid_30_49,trstprl,LT,2,0,0,False,False,False,False,False,False,False
mid_30_49,trstprl,LV,2,0,0,False,False,False,False,False,False,False
mid_30_49,trstprl,ME,2,1,0,True,False,False,False,False,False,False
mid_30_49,trstprl,NL,2,1,1,True,True,True,True,False,False,False
mid_30_49,trstprl,NO,2,1,0,True,False,True,False,False,False,False
mid_30_49,trstprl,PL,2,1,1,True,True,False,False,False,False,False
mid_30_49,trstprl,PT,2,1,0,True,False,False,False,False,False,False
mid_30_49,trstprl,RS,2,0,0,False,False,True,False,False,False,False
mid_30_49,trstprl,SE,2,1,0,True,False,False,False,False,False,False
mid_30_49,trstprl,SI,2,0,0,False,False,False,False,False,False,False
mid_30_49,trstprl,SK,2,0,0,False,False,False,False,False,False,False
mid_30_49,stfdem,AT,2,1,1,True,True,True,False,False,False,False
mid_30_49,stfdem,BE,2,0,0,False,False,True,False,False,False,False
mid_30_49,stfdem,BG,2,0,0,False,False,False,False,False,False,False
mid_30_49,stfdem,CH,2,0,0,False,False,False,False,False,False,False
mid_30_49,stfdem,CY,1,1,0,True,False,True,False,True,False,False
mid_30_49,stfdem,CZ,1,0,0,False,False,False,False,False,False,False
mid_30_49,stfdem,DE,2,1,1,True,True,True,True,False,False,False
mid_30_49,stfdem,EE,2,1,1,True,True,True,False,False,False,False
mid_30_49,stfdem,ES,2,1,0,True,False,False,False,False,False,False
mid_30_49,stfdem,FI,2,0,0,False,False,False,False,False,False,False
mid_30_49,stfdem,FR,2,1,1,True,True,True,False,False,False,False
mid_30_49,stfdem,GB,2,1,1,True,True,True,True,False,False,False
mid_30_49,stfdem,GR,1,1,0,True,False,True,False,True,False,False
mid_30_49,stfdem,HR,2,0,0,False,False,False,False,False,False,False
mid_30_49,stfdem,HU,2,1,1,True,True,True,False,False,False,False
mid_30_49,stfdem,IE,2,1,0,True,False,False,False,False,False,False
mid_30_49,stfdem,IL,1,0,0,False,False,False,False,False,False,False
mid_30_49,stfdem,IS,2,1,1,True,True,False,False,False,False,False
mid_30_49,stfdem,IT,2,2,0,True,False,True,False,True,False,False
mid_30_49,stfdem,LT,2,0,0,False,False,False,False,False,False,False
mid_30_49,stfdem,LV,2,0,0,False,False,False,False,False,False,False
mid_30_49,stfdem,ME,2,0,0,False,False,False,False,False,False,False
mid_30_49,stfdem,NL,2,1,0,True,False,True,True,False,False,False
mid_30_49,stfdem,NO,2,1,0,True,False,False,False,False,False,False
mid_30_49,stfdem,PL,2,1,1,True,True,False,False,False,False,False
mid_30_49,stfdem,PT,2,1,1,True,True,True,False,False,False,False
mid_30_49,stfdem,RS,2,2,0,True,False,True,True,True,False,False
mid_30_49,stfdem,SE,2,1,0,True,False,False,False,False,False,False
mid_30_49,stfdem,SI,2,1,0,True,False,False,False,False,False,False
mid_30_49,stfdem,SK,2,1,0,True,False,False,False,False,False,False
