cell,seed,target_n,survey_sd,transport_sd,oracle_cov_true,oracle_cov_tilde,oracle_width,plugin_cov_true,plugin_cov_tilde,plugin_width,da_wc_cov_true,da_wc_cov_tilde,da_wc_width,da_stud_cov_true,da_stud_width,da_stud_cov_tilde,da_stud_width_val
E_small_shift_noisy,40292,600,0.034207164693932854,0.013175118401423333,1.0,0.0,0.06372713664754472,1.0,1.0,0.2581874649903143,1.0,1.0,0.39315534003966196,1.0,0.14503923378893807,0.0,0.23654571190533275
E_small_shift_noisy,40293,600,0.031896230971970564,0.013218830508958215,1.0,0.0,0.06288022555269525,1.0,1.0,0.17872682001480805,1.0,1.0,0.3284481036659261,1.0,0.10107808684934402,1.0,0.34753400575355375
E_small_shift_noisy,40294,600,0.03515983531818249,0.013215524087565392,0.0,0.0,0.05763249712595727,1.0,1.0,0.21081903698440402,1.0,1.0,0.3597791195708099,0.0,0.08874047592088448,1.0,0.18996468932268093
E_small_shift_noisy,40295,600,0.03471491102935205,0.014850271413664812,1.0,1.0,0.07225691322122026,1.0,1.0,0.21357839416897378,1.0,1.0,0.4091013064793157,1.0,0.1280383188080018,1.0,0.3037156575518033
E_small_shift_noisy,40296,600,0.03156137567789056,0.015350467518358956,1.0,0.0,0.06759806269354282,1.0,1.0,0.2118783925469992,1.0,1.0,0.3927962839803567,1.0,0.1460243937592248,1.0,0.20152881520736843
E_small_shift_noisy,40297,600,0.03474662028500846,0.01545882180470901,1.0,0.0,0.07008175562338141,1.0,1.0,0.22119552005462167,1.0,1.0,0.4057722123687171,1.0,0.13069131690883162,1.0,0.1552398737736144
E_small_shift_noisy,40298,600,0.03558942850701942,0.013383355838242841,1.0,0.0,0.05579995732475305,1.0,1.0,0.20559828628442278,1.0,1.0,0.40734480795561084,1.0,0.11190885072053,1.0,0.16125229331343569
E_small_shift_noisy,40299,600,0.034421055076975945,0.017015746103064285,1.0,0.0,0.06509403878228004,1.0,1.0,0.1829246256294168,1.0,1.0,0.3722583558144545,0.0,0.09616323759768422,1.0,0.1909833119404369
E_small_shift_noisy,40300,600,0.032086664561456285,0.011204625769065665,1.0,0.0,0.049221417296367365,1.0,1.0,0.2660203271167469,1.0,1.0,0.3903230818821602,1.0,0.1670395691375841,1.0,0.26602603191939567
E_small_shift_noisy,40301,600,0.03366210147579959,0.011911902359691489,0.0,0.0,0.04696794621999302,1.0,1.0,0.2119220291480118,1.0,1.0,0.3868016040042798,1.0,0.12336546994683036,1.0,0.25551688026629765
E_small_shift_noisy,40302,600,0.03237122390052335,0.015384998959643981,1.0,1.0,0.06547612452589961,1.0,1.0,0.26899891152024447,1.0,1.0,0.42103220385456835,1.0,0.17830634468062254,1.0,0.2581915335914232
E_small_shift_noisy,40303,600,0.031200365443142395,0.01246079321428212,1.0,0.0,0.05822136934486601,1.0,1.0,0.22208025723319783,1.0,1.0,0.39049400862701394,1.0,0.1252582428908434,1.0,0.18841842049968174
E_small_shift_noisy,40304,600,0.03141525024276725,0.01236443162923557,1.0,1.0,0.060299299469707,1.0,1.0,0.20752080156224545,1.0,1.0,0.35574889141168586,1.0,0.11722254931700234,1.0,0.22504202186327005
E_small_shift_noisy,40305,600,0.033303923044761326,0.012031754495126643,0.0,0.0,0.0538952970795075,1.0,1.0,0.19870365017039474,1.0,1.0,0.3656673484628651,1.0,0.09063109271238198,1.0,0.17900865108577912
E_small_shift_noisy,40306,600,0.03482787990450595,0.012434653849455893,1.0,0.0,0.049893973537718087,1.0,1.0,0.22237061124848526,1.0,1.0,0.40480735122060774,1.0,0.14503692453173272,1.0,0.2181791758256472
E_small_shift_noisy,40307,600,0.03174931616418652,0.010596357295957549,1.0,0.0,0.04506188800994152,1.0,1.0,0.21856126728411968,1.0,1.0,0.3757524967228906,1.0,0.14719455969971318,1.0,0.2793306858042016
E_small_shift_noisy,40308,600,0.03148437809093329,0.014517395876296857,1.0,1.0,0.07117224345878523,1.0,1.0,0.1951078615689889,1.0,1.0,0.30759843982336593,1.0,0.08874957325635717,1.0,0.18482408095124275
E_small_shift_noisy,40309,600,0.03138772681921342,0.011815663283701766,1.0,0.0,0.05350527348199441,1.0,1.0,0.22038459320480186,1.0,1.0,0.35342861460180564,1.0,0.1318299881659565,1.0,0.24163075324014924
E_small_shift_noisy,40310,600,0.03511529029187469,0.01407434744129693,1.0,0.0,0.0639645368657967,1.0,1.0,0.2176774110990151,1.0,1.0,0.3652983845219787,1.0,0.08424270829033571,1.0,0.1750199938873294
E_small_shift_noisy,40311,600,0.03322145525033191,0.011920510530450363,1.0,0.0,0.05496484837579323,1.0,1.0,0.20962224360902618,1.0,1.0,0.3613798787344008,0.0,0.07214430958810678,1.0,0.2721264226188569
E_small_shift_noisy,40312,600,0.03244132087816749,0.014242412183769898,1.0,0.0,0.05912081093537027,1.0,1.0,0.20465238442445743,1.0,1.0,0.32604167599334255,1.0,0.12247443362822552,1.0,0.1768276156227715
E_small_shift_noisy,40313,600,0.030673556846055612,0.017720657584541395,1.0,0.0,0.06872588984755139,1.0,0.0,0.19756175248147748,1.0,1.0,0.35891447533771514,1.0,0.1488743824889232,0.0,0.20432691569510056
E_small_shift_noisy,40314,600,0.03618181910104538,0.016396988236353112,1.0,0.0,0.0715248729703795,1.0,1.0,0.20797926442550377,1.0,1.0,0.381723827603268,1.0,0.10487490657640075,1.0,0.1549034634619503
E_small_shift_noisy,40315,600,0.03652748594630112,0.012286113020338715,1.0,0.0,0.055948110175063695,1.0,1.0,0.2519743025240947,1.0,1.0,0.4236150167831486,1.0,0.1565163686854924,1.0,0.25499764735491354
E_small_shift_noisy,40316,600,0.03284620860912329,0.015061520075701112,1.0,0.0,0.07302332034199324,1.0,1.0,0.19754841041845556,1.0,1.0,0.3533688334703139,1.0,0.11682443953734137,1.0,0.1845711289545205
E_small_shift_noisy,40317,600,0.03445078751945864,0.013688280928568141,1.0,0.0,0.06382102504027735,1.0,1.0,0.22577451417123506,1.0,1.0,0.4124414924220642,1.0,0.12515810124297294,1.0,0.22164036434637965
E_small_shift_noisy,40318,600,0.031202966591755758,0.01408103307668565,1.0,0.0,0.07353925436135103,1.0,1.0,0.21767750910129252,1.0,1.0,0.3612548965871559,1.0,0.14038342413413327,1.0,0.23033013528577548
E_small_shift_noisy,40319,600,0.0330785021702394,0.014247657077699602,1.0,1.0,0.06799871389508119,1.0,1.0,0.21373384586499045,1.0,1.0,0.3778321880272027,1.0,0.15779328735348194,1.0,0.234004673329673
E_small_shift_noisy,40320,600,0.03336796958249639,0.014498742244373253,0.0,0.0,0.06595523661468422,1.0,0.0,0.19799616465170203,1.0,1.0,0.3834647530547509,0.0,0.1459599583004209,0.0,0.2320957052493024
E_small_shift_noisy,40321,600,0.03265835010413198,0.012368875818268954,1.0,0.0,0.05586077158178353,1.0,1.0,0.2273548627838557,1.0,1.0,0.4206561327755482,1.0,0.15914318562468738,1.0,0.18671918076120364
