pool,min_n,essround,K,median_region_n,rho_hat,rho_lcb,D,delta_ucb,gate_A,gate_B,branch,gain_lcb,width_ratio,coverage,fallback
all countries,60,10,248,142,0.6453,0.5653,0.1552,0.0207,True,False,conservative,,0.7958,0.8793,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
common NUTS level,60,10,105,146,0.6945,0.5477,0.2619,0.0308,True,False,conservative,,0.7933,0.8692,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
all countries,60,11,233,136,0.5384,0.477,0.1313,0.0185,True,True,conservative,0.067,0.8591,0.8815,width gain insufficient (Ĝain_LCB ≤ g_min) → conservative fallback
common NUTS level,60,11,116,135,0.5757,0.4836,0.1999,0.025,True,False,conservative,,0.8456,0.875,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
all countries,40,9,273,119,0.6278,0.5511,0.1424,0.0195,True,True,deconvolution,0.2366,0.8086,0.8805,
common NUTS level,40,9,109,140,0.6398,0.52,0.2188,0.0267,True,False,conservative,,0.8186,0.8733,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
all countries,40,10,287,127,0.6552,0.5632,0.1545,0.0207,True,False,conservative,,0.7993,0.8793,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
common NUTS level,40,10,119,133,0.7373,0.5439,0.2946,0.0339,True,False,conservative,,0.7967,0.8661,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
all countries,40,11,285,112,0.5469,0.4906,0.122,0.0176,True,True,conservative,0.0239,0.8521,0.8824,width gain insufficient (Ĝain_LCB ≤ g_min) → conservative fallback
common NUTS level,40,11,140,113,0.6175,0.5291,0.193,0.0243,True,False,conservative,,0.8156,0.8757,finite-K remainder too large (δ̂_UCB > δ_max) → conservative fallback
