cntry,essround,n,trstprl,stfdem,anweight,pspwght,dweight,psu,stratum,prob,n_psu,n_strata,sample
HU,2,1498,0.9666221628838452,0.9312416555407209,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
HU,3,1518,0.9578392621870883,0.9314888010540184,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
HU,4,1544,0.9727979274611399,0.9300518134715026,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
HU,5,1561,0.9737347853939782,0.9391415759128764,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
HU,6,2014,0.9568023833167825,0.9463753723932473,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
HU,7,1698,0.9758539458186102,0.934040047114252,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
HU,8,1614,0.9702602230483272,0.9473358116480793,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
HU,9,1661,0.9759181216134859,0.9518362432269717,1.0,1.0,1.0,1.0,1.0,1.0,880,132,core
HU,10,1849,0.9783666846944294,0.9680908599242833,1.0,1.0,1.0,1.0,1.0,1.0,1034,157,core
HU,11,2118,0.9834749763928234,0.9721435316336167,1.0,1.0,1.0,1.0,1.0,1.0,1040,143,core
IE,1,2046,0.9672531769305963,0.9193548387096774,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
IE,2,2286,0.9763779527559056,0.9400699912510936,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
IE,3,1800,0.955,0.9466666666666667,0.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
IE,4,1764,0.9892290249433107,0.9722222222222222,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
IE,5,2576,0.9545807453416149,0.9425465838509317,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
IE,6,2628,0.9577625570776256,0.9550989345509894,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
IE,7,2390,0.9589958158995816,0.9489539748953975,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
IE,8,2757,0.9724338048603555,0.9517591585056221,1.0,1.0,1.0,0.0,0.0,0.0,0,0,extended
